EmployeeID,Month,WorkingDays,PresentDays,AbsentDays
151,July,30,28,2
152,July,30,29,1
153,July,30,30,0
154,July,30,20,10
155,July,30,21,9
156,July,30,22,8
157,July,30,23,7
158,July,30,24,6
159,July,30,25,5
160,July,30,26,4
161,July,30,27,3
162,July,30,28,2
163,July,30,29,1
164,July,30,30,0
165,July,30,20,10
166,July,30,21,9
167,July,30,22,8
168,July,30,23,7
169,July,30,24,6
170,July,30,25,5
171,July,30,26,4
172,July,30,27,3
173,July,30,28,2
174,July,30,29,1
175,July,30,30,0
176,July,30,20,10
177,July,30,21,9
178,July,30,22,8
179,July,30,23,7
180,July,30,24,6
181,July,30,25,5
182,July,30,26,4
183,July,30,27,3
184,July,30,28,2
185,July,30,29,1
186,July,30,30,0
187,July,30,20,10
188,July,30,21,9
189,July,30,22,8
190,July,30,23,7
191,July,30,24,6
192,July,30,25,5
193,July,30,26,4
194,July,30,27,3
195,July,30,28,2
196,July,30,29,1
197,July,30,30,0
198,July,30,20,10
199,July,30,21,9
200,July,30,22,8
201,July,30,23,7
202,July,30,24,6
203,July,30,25,5
204,July,30,26,4
205,July,30,27,3
206,July,30,28,2
207,July,30,29,1
208,July,30,30,0
209,July,30,20,10
210,July,30,21,9
211,July,30,22,8
212,July,30,23,7
213,July,30,24,6
214,July,30,25,5
215,July,30,26,4
216,July,30,27,3
217,July,30,28,2
218,July,30,29,1
219,July,30,30,0
220,July,30,20,10
221,July,30,21,9
222,July,30,22,8
223,July,30,23,7
224,July,30,24,6
225,July,30,25,5
226,July,30,26,4
227,July,30,27,3
228,July,30,28,2
229,July,30,29,1
230,July,30,30,0
231,July,30,20,10
232,July,30,21,9
233,July,30,22,8
234,July,30,23,7
235,July,30,24,6
236,July,30,25,5
237,July,30,26,4
238,July,30,27,3
239,July,30,28,2
240,July,30,29,1
241,July,30,30,0
242,July,30,20,10
243,July,30,21,9
244,July,30,22,8
245,July,30,23,7
246,July,30,24,6
247,July,30,25,5
248,July,30,26,4
249,July,30,27,3
250,July,30,28,2
251,July,30,29,1
252,July,30,30,0
253,July,30,20,10
254,July,30,21,9
255,July,30,22,8
256,July,30,23,7
257,July,30,24,6
258,July,30,25,5
259,July,30,26,4
260,July,30,27,3
261,July,30,28,2
262,July,30,29,1
263,July,30,30,0
264,July,30,20,10
265,July,30,21,9
266,July,30,22,8
267,July,30,23,7
268,July,30,24,6
269,July,30,25,5
270,July,30,26,4
271,July,30,27,3
272,July,30,28,2
273,July,30,29,1
274,July,30,30,0
275,July,30,20,10
276,July,30,21,9
277,July,30,22,8
278,July,30,23,7
279,July,30,24,6
280,July,30,25,5
281,July,30,26,4
282,July,30,27,3
283,July,30,28,2
284,July,30,29,1
285,July,30,30,0
286,July,30,20,10
287,July,30,21,9
288,July,30,22,8
289,July,30,23,7
290,July,30,24,6
291,July,30,25,5
292,July,30,26,4
293,July,30,27,3
294,July,30,28,2
295,July,30,29,1
296,July,30,30,0
297,July,30,20,10
298,July,30,21,9
299,July,30,22,8
300,July,30,23,7
301,July,30,24,6
302,July,30,25,5
303,July,30,26,4
304,July,30,27,3
305,July,30,28,2
306,July,30,29,1
307,July,30,30,0
308,July,30,20,10
309,July,30,21,9
310,July,30,22,8
311,July,30,23,7
312,July,30,24,6
313,July,30,25,5
314,July,30,26,4
315,July,30,27,3
316,July,30,28,2
317,July,30,29,1
318,July,30,30,0
319,July,30,20,10
320,July,30,21,9
321,July,30,22,8
322,July,30,23,7
323,July,30,24,6
324,July,30,25,5
325,July,30,26,4
326,July,30,27,3
327,July,30,28,2
328,July,30,29,1
329,July,30,30,0
330,July,30,20,10
331,July,30,21,9
332,July,30,22,8
333,July,30,23,7
334,July,30,24,6
335,July,30,25,5
336,July,30,26,4
337,July,30,27,3
338,July,30,28,2
339,July,30,29,1
340,July,30,30,0
341,July,30,20,10
342,July,30,21,9
343,July,30,22,8
344,July,30,23,7
345,July,30,24,6
346,July,30,25,5
347,July,30,26,4
348,July,30,27,3
349,July,30,28,2
350,July,30,29,1
351,July,30,30,0
352,July,30,20,10
353,July,30,21,9
354,July,30,22,8
355,July,30,23,7
356,July,30,24,6
357,July,30,25,5
358,July,30,26,4
359,July,30,27,3
360,July,30,28,2
361,July,30,29,1
362,July,30,30,0
363,July,30,20,10
364,July,30,21,9
365,July,30,22,8
366,July,30,23,7
367,July,30,24,6
368,July,30,25,5
369,July,30,26,4
370,July,30,27,3
371,July,30,28,2
372,July,30,29,1
373,July,30,30,0
374,July,30,20,10
375,July,30,21,9
376,July,30,22,8
377,July,30,23,7
378,July,30,24,6
379,July,30,25,5
380,July,30,26,4
381,July,30,27,3
382,July,30,28,2
383,July,30,29,1
384,July,30,30,0
385,July,30,20,10
386,July,30,21,9
387,July,30,22,8
388,July,30,23,7
389,July,30,24,6
390,July,30,25,5
391,July,30,26,4
392,July,30,27,3
393,July,30,28,2
394,July,30,29,1
395,July,30,30,0
396,July,30,20,10
397,July,30,21,9
398,July,30,22,8
399,July,30,23,7
400,July,30,24,6
401,July,30,25,5
402,July,30,26,4
403,July,30,27,3
404,July,30,28,2
405,July,30,29,1
406,July,30,30,0
407,July,30,20,10
408,July,30,21,9
409,July,30,22,8
410,July,30,23,7
411,July,30,24,6
412,July,30,25,5
413,July,30,26,4
414,July,30,27,3
415,July,30,28,2
416,July,30,29,1
417,July,30,30,0
418,July,30,20,10
419,July,30,21,9
420,July,30,22,8
421,July,30,23,7
422,July,30,24,6
423,July,30,25,5
424,July,30,26,4
425,July,30,27,3
426,July,30,28,2
427,July,30,29,1
428,July,30,30,0
429,July,30,20,10
430,July,30,21,9
431,July,30,22,8
432,July,30,23,7
433,July,30,24,6
434,July,30,25,5
435,July,30,26,4
436,July,30,27,3
437,July,30,28,2
438,July,30,29,1
439,July,30,30,0
440,July,30,20,10
441,July,30,21,9
442,July,30,22,8
443,July,30,23,7
444,July,30,24,6
445,July,30,25,5
446,July,30,26,4
447,July,30,27,3
448,July,30,28,2
449,July,30,29,1
450,July,30,30,0
451,July,30,20,10
452,July,30,21,9
453,July,30,22,8
454,July,30,23,7
455,July,30,24,6
456,July,30,25,5
457,July,30,26,4
458,July,30,27,3
459,July,30,28,2
460,July,30,29,1
461,July,30,30,0
462,July,30,20,10
463,July,30,21,9
464,July,30,22,8
465,July,30,23,7
466,July,30,24,6
467,July,30,25,5
468,July,30,26,4
469,July,30,27,3
470,July,30,28,2
471,July,30,29,1
472,July,30,30,0
473,July,30,20,10
474,July,30,21,9
475,July,30,22,8
476,July,30,23,7
477,July,30,24,6
478,July,30,25,5
479,July,30,26,4
480,July,30,27,3
481,July,30,28,2
482,July,30,29,1
483,July,30,30,0
484,July,30,20,10
485,July,30,21,9
486,July,30,22,8
487,July,30,23,7
488,July,30,24,6
489,July,30,25,5
490,July,30,26,4
491,July,30,27,3
492,July,30,28,2
493,July,30,29,1
494,July,30,30,0
495,July,30,20,10
496,July,30,21,9
497,July,30,22,8
498,July,30,23,7
499,July,30,24,6
500,July,30,25,5
