EmployeeID,BasicSalary,Allowance,Deduction,NetSalary
190,30000,2000,1500,30500
191,35000,2500,1750,35750
192,40000,3000,1000,42000
193,45000,3500,1250,47250
194,50000,4000,1500,52500
195,55000,2000,1750,55250
196,60000,2500,1000,61500
197,65000,3000,1250,66750
198,70000,3500,1500,72000
199,75000,4000,1750,77250
200,30000,2000,1000,31000
201,35000,2500,1250,36250
202,40000,3000,1500,41500
203,45000,3500,1750,46750
204,50000,4000,1000,53000
205,55000,2000,1250,55750
206,60000,2500,1500,61000
207,65000,3000,1750,66250
208,70000,3500,1000,72500
209,75000,4000,1250,77750
210,30000,2000,1500,30500
211,35000,2500,1750,35750
212,40000,3000,1000,42000
213,45000,3500,1250,47250
214,50000,4000,1500,52500
215,55000,2000,1750,55250
216,60000,2500,1000,61500
217,65000,3000,1250,66750
218,70000,3500,1500,72000
219,75000,4000,1750,77250
220,30000,2000,1000,31000
221,35000,2500,1250,36250
222,40000,3000,1500,41500
223,45000,3500,1750,46750
224,50000,4000,1000,53000
225,55000,2000,1250,55750
226,60000,2500,1500,61000
227,65000,3000,1750,66250
228,70000,3500,1000,72500
229,75000,4000,1250,77750
230,30000,2000,1500,30500
231,35000,2500,1750,35750
232,40000,3000,1000,42000
233,45000,3500,1250,47250
234,50000,4000,1500,52500
235,55000,2000,1750,55250
236,60000,2500,1000,61500
237,65000,3000,1250,66750
238,70000,3500,1500,72000
239,75000,4000,1750,77250
240,30000,2000,1000,31000
241,35000,2500,1250,36250
242,40000,3000,1500,41500
243,45000,3500,1750,46750
244,50000,4000,1000,53000
245,55000,2000,1250,55750
246,60000,2500,1500,61000
247,65000,3000,1750,66250
248,70000,3500,1000,72500
249,75000,4000,1250,77750
250,30000,2000,1500,30500
251,35000,2500,1750,35750
252,40000,3000,1000,42000
253,45000,3500,1250,47250
254,50000,4000,1500,52500
255,55000,2000,1750,55250
256,60000,2500,1000,61500
257,65000,3000,1250,66750
258,70000,3500,1500,72000
259,75000,4000,1750,77250
260,30000,2000,1000,31000
261,35000,2500,1250,36250
262,40000,3000,1500,41500
263,45000,3500,1750,46750
264,50000,4000,1000,53000
265,55000,2000,1250,55750
266,60000,2500,1500,61000
267,65000,3000,1750,66250
268,70000,3500,1000,72500
269,75000,4000,1250,77750
270,30000,2000,1500,30500
271,35000,2500,1750,35750
272,40000,3000,1000,42000
273,45000,3500,1250,47250
274,50000,4000,1500,52500
275,55000,2000,1750,55250
276,60000,2500,1000,61500
277,65000,3000,1250,66750
278,70000,3500,1500,72000
279,75000,4000,1750,77250
280,30000,2000,1000,31000
281,35000,2500,1250,36250
282,40000,3000,1500,41500
283,45000,3500,1750,46750
284,50000,4000,1000,53000
285,55000,2000,1250,55750
286,60000,2500,1500,61000
287,65000,3000,1750,66250
288,70000,3500,1000,72500
289,75000,4000,1250,77750
290,30000,2000,1500,30500
291,35000,2500,1750,35750
292,40000,3000,1000,42000
293,45000,3500,1250,47250
294,50000,4000,1500,52500
295,55000,2000,1750,55250
296,60000,2500,1000,61500
297,65000,3000,1250,66750
298,70000,3500,1500,72000
299,75000,4000,1750,77250
300,30000,2000,1000,31000
301,35000,2500,1250,36250
302,40000,3000,1500,41500
303,45000,3500,1750,46750
304,50000,4000,1000,53000
305,55000,2000,1250,55750
306,60000,2500,1500,61000
307,65000,3000,1750,66250
308,70000,3500,1000,72500
309,75000,4000,1250,77750
310,30000,2000,1500,30500
311,35000,2500,1750,35750
312,40000,3000,1000,42000
313,45000,3500,1250,47250
314,50000,4000,1500,52500
315,55000,2000,1750,55250
316,60000,2500,1000,61500
317,65000,3000,1250,66750
318,70000,3500,1500,72000
319,75000,4000,1750,77250
320,30000,2000,1000,31000
321,35000,2500,1250,36250
322,40000,3000,1500,41500
323,45000,3500,1750,46750
324,50000,4000,1000,53000
325,55000,2000,1250,55750
326,60000,2500,1500,61000
327,65000,3000,1750,66250
328,70000,3500,1000,72500
329,75000,4000,1250,77750
330,30000,2000,1500,30500
331,35000,2500,1750,35750
332,40000,3000,1000,42000
333,45000,3500,1250,47250
334,50000,4000,1500,52500
335,55000,2000,1750,55250
336,60000,2500,1000,61500
337,65000,3000,1250,66750
338,70000,3500,1500,72000
339,75000,4000,1750,77250
340,30000,2000,1000,31000
341,35000,2500,1250,36250
342,40000,3000,1500,41500
343,45000,3500,1750,46750
344,50000,4000,1000,53000
345,55000,2000,1250,55750
346,60000,2500,1500,61000
347,65000,3000,1750,66250
348,70000,3500,1000,72500
349,75000,4000,1250,77750
350,30000,2000,1500,30500
351,35000,2500,1750,35750
352,40000,3000,1000,42000
353,45000,3500,1250,47250
354,50000,4000,1500,52500
355,55000,2000,1750,55250
356,60000,2500,1000,61500
357,65000,3000,1250,66750
358,70000,3500,1500,72000
359,75000,4000,1750,77250
360,30000,2000,1000,31000
361,35000,2500,1250,36250
362,40000,3000,1500,41500
363,45000,3500,1750,46750
364,50000,4000,1000,53000
365,55000,2000,1250,55750
366,60000,2500,1500,61000
367,65000,3000,1750,66250
368,70000,3500,1000,72500
369,75000,4000,1250,77750
370,30000,2000,1500,30500
371,35000,2500,1750,35750
372,40000,3000,1000,42000
373,45000,3500,1250,47250
374,50000,4000,1500,52500
375,55000,2000,1750,55250
376,60000,2500,1000,61500
377,65000,3000,1250,66750
378,70000,3500,1500,72000
379,75000,4000,1750,77250
380,30000,2000,1000,31000
381,35000,2500,1250,36250
382,40000,3000,1500,41500
383,45000,3500,1750,46750
384,50000,4000,1000,53000
385,55000,2000,1250,55750
386,60000,2500,1500,61000
387,65000,3000,1750,66250
388,70000,3500,1000,72500
389,75000,4000,1250,77750
390,30000,2000,1500,30500
391,35000,2500,1750,35750
392,40000,3000,1000,42000
393,45000,3500,1250,47250
394,50000,4000,1500,52500
395,55000,2000,1750,55250
396,60000,2500,1000,61500
397,65000,3000,1250,66750
398,70000,3500,1500,72000
399,75000,4000,1750,77250
400,30000,2000,1000,31000
401,35000,2500,1250,36250
402,40000,3000,1500,41500
403,45000,3500,1750,46750
404,50000,4000,1000,53000
405,55000,2000,1250,55750
406,60000,2500,1500,61000
407,65000,3000,1750,66250
408,70000,3500,1000,72500
409,75000,4000,1250,77750
410,30000,2000,1500,30500
411,35000,2500,1750,35750
412,40000,3000,1000,42000
413,45000,3500,1250,47250
414,50000,4000,1500,52500
415,55000,2000,1750,55250
416,60000,2500,1000,61500
417,65000,3000,1250,66750
418,70000,3500,1500,72000
419,75000,4000,1750,77250
420,30000,2000,1000,31000
421,35000,2500,1250,36250
422,40000,3000,1500,41500
423,45000,3500,1750,46750
424,50000,4000,1000,53000
425,55000,2000,1250,55750
426,60000,2500,1500,61000
427,65000,3000,1750,66250
428,70000,3500,1000,72500
429,75000,4000,1250,77750
430,30000,2000,1500,30500
431,35000,2500,1750,35750
432,40000,3000,1000,42000
433,45000,3500,1250,47250
434,50000,4000,1500,52500
435,55000,2000,1750,55250
436,60000,2500,1000,61500
437,65000,3000,1250,66750
438,70000,3500,1500,72000
439,75000,4000,1750,77250
440,30000,2000,1000,31000
441,35000,2500,1250,36250
442,40000,3000,1500,41500
443,45000,3500,1750,46750
444,50000,4000,1000,53000
445,55000,2000,1250,55750
446,60000,2500,1500,61000
447,65000,3000,1750,66250
448,70000,3500,1000,72500
449,75000,4000,1250,77750
450,30000,2000,1500,30500
451,35000,2500,1750,35750
452,40000,3000,1000,42000
453,45000,3500,1250,47250
454,50000,4000,1500,52500
455,55000,2000,1750,55250
456,60000,2500,1000,61500
457,65000,3000,1250,66750
458,70000,3500,1500,72000
459,75000,4000,1750,77250
460,30000,2000,1000,31000
461,35000,2500,1250,36250
462,40000,3000,1500,41500
463,45000,3500,1750,46750
464,50000,4000,1000,53000
465,55000,2000,1250,55750
466,60000,2500,1500,61000
467,65000,3000,1750,66250
468,70000,3500,1000,72500
469,75000,4000,1250,77750
470,30000,2000,1500,30500
471,35000,2500,1750,35750
472,40000,3000,1000,42000
473,45000,3500,1250,47250
474,50000,4000,1500,52500
475,55000,2000,1750,55250
476,60000,2500,1000,61500
477,65000,3000,1250,66750
478,70000,3500,1500,72000
479,75000,4000,1750,77250
480,30000,2000,1000,31000
481,35000,2500,1250,36250
482,40000,3000,1500,41500
483,45000,3500,1750,46750
484,50000,4000,1000,53000
485,55000,2000,1250,55750
486,60000,2500,1500,61000
487,65000,3000,1750,66250
488,70000,3500,1000,72500
489,75000,4000,1250,77750
490,30000,2000,1500,30500
491,35000,2500,1750,35750
492,40000,3000,1000,42000
493,45000,3500,1250,47250
494,50000,4000,1500,52500
495,55000,2000,1750,55250
496,60000,2500,1000,61500
497,65000,3000,1250,66750
498,70000,3500,1500,72000
499,75000,4000,1750,77250
500,30000,2000,1000,31000
