EmployeeID,Name,Department,Designation,Age,Gender,City,Month,WorkingDays,PresentDays,AbsentDays,BasicSalary,Allowance,Deduction,NetSalary,AttendancePercentage,daily_salary,Final_salary
33,Employee_33,Sales,Executive,31,Male,Islamabad,July,30,20,10,45000,3500,1250,47250,66.66666666666666,1575.0,31500.0
34,Employee_34,Marketing,Analyst,32,Female,Lahore,July,30,21,9,50000,4000,1500,52500,70.0,1750.0,36750.0
35,Employee_35,HR,Manager,33,Male,Peshawar,July,30,22,8,55000,2000,1750,55250,73.33333333333333,1841.6666666666667,40516.66666666667
36,Employee_36,IT,Officer,34,Female,Mardan,July,30,23,7,60000,2500,1000,61500,76.66666666666667,2050.0,47150.0
37,Employee_37,Finance,Assistant,35,Male,Swat,July,30,24,6,65000,3000,1250,66750,80.0,2225.0,53400.0
38,Employee_38,Sales,Executive,36,Female,Islamabad,July,30,25,5,70000,3500,1500,72000,83.33333333333334,2400.0,60000.0
39,Employee_39,Marketing,Analyst,37,Male,Lahore,July,30,26,4,75000,4000,1750,77250,86.66666666666667,2575.0,66950.0
40,Employee_40,HR,Manager,38,Female,Peshawar,July,30,27,3,30000,2000,1000,31000,90.0,1033.3333333333333,27899.999999999996
41,Employee_41,IT,Officer,39,Male,Mardan,July,30,28,2,35000,2500,1250,36250,93.33333333333333,1208.3333333333333,33833.33333333333
42,Employee_42,Finance,Assistant,40,Female,Swat,July,30,29,1,40000,3000,1500,41500,96.66666666666667,1383.3333333333333,40116.666666666664
43,Employee_43,Sales,Executive,41,Male,Islamabad,July,30,30,0,45000,3500,1750,46750,100.0,1558.3333333333333,46750.0
44,Employee_44,Marketing,Analyst,42,Female,Lahore,July,30,20,10,50000,4000,1000,53000,66.66666666666666,1766.6666666666667,35333.333333333336
45,Employee_45,HR,Manager,43,Male,Peshawar,July,30,21,9,55000,2000,1250,55750,70.0,1858.3333333333333,39025.0
46,Employee_46,IT,Officer,44,Female,Mardan,July,30,22,8,60000,2500,1500,61000,73.33333333333333,2033.3333333333333,44733.33333333333
47,Employee_47,Finance,Assistant,45,Male,Swat,July,30,23,7,65000,3000,1750,66250,76.66666666666667,2208.3333333333335,50791.66666666667
48,Employee_48,Sales,Executive,22,Female,Islamabad,July,30,24,6,70000,3500,1000,72500,80.0,2416.6666666666665,58000.0
49,Employee_49,Marketing,Analyst,23,Male,Lahore,July,30,25,5,75000,4000,1250,77750,83.33333333333334,2591.6666666666665,64791.666666666664
50,Employee_50,HR,Manager,24,Female,Peshawar,July,30,26,4,30000,2000,1500,30500,86.66666666666667,1016.6666666666666,26433.333333333332
51,Employee_51,IT,Officer,25,Male,Mardan,July,30,27,3,35000,2500,1750,35750,90.0,1191.6666666666667,32175.000000000004
52,Employee_52,Finance,Assistant,26,Female,Swat,July,30,28,2,40000,3000,1000,42000,93.33333333333333,1400.0,39200.0
53,Employee_53,Sales,Executive,27,Male,Islamabad,July,30,29,1,45000,3500,1250,47250,96.66666666666667,1575.0,45675.0
54,Employee_54,Marketing,Analyst,28,Female,Lahore,July,30,30,0,50000,4000,1500,52500,100.0,1750.0,52500.0
55,Employee_55,HR,Manager,29,Male,Peshawar,July,30,20,10,55000,2000,1750,55250,66.66666666666666,1841.6666666666667,36833.333333333336
56,Employee_56,IT,Officer,30,Female,Mardan,July,30,21,9,60000,2500,1000,61500,70.0,2050.0,43050.0
57,Employee_57,Finance,Assistant,31,Male,Swat,July,30,22,8,65000,3000,1250,66750,73.33333333333333,2225.0,48950.0
58,Employee_58,Sales,Executive,32,Female,Islamabad,July,30,23,7,70000,3500,1500,72000,76.66666666666667,2400.0,55200.0
59,Employee_59,Marketing,Analyst,33,Male,Lahore,July,30,24,6,75000,4000,1750,77250,80.0,2575.0,61800.0
60,Employee_60,HR,Manager,34,Female,Peshawar,July,30,25,5,30000,2000,1000,31000,83.33333333333334,1033.3333333333333,25833.333333333332
61,Employee_61,IT,Officer,35,Male,Mardan,July,30,26,4,35000,2500,1250,36250,86.66666666666667,1208.3333333333333,31416.666666666664
62,Employee_62,Finance,Assistant,36,Female,Swat,July,30,27,3,40000,3000,1500,41500,90.0,1383.3333333333333,37350.0
63,Employee_63,Sales,Executive,37,Male,Islamabad,July,30,28,2,45000,3500,1750,46750,93.33333333333333,1558.3333333333333,43633.33333333333
64,Employee_64,Marketing,Analyst,38,Female,Lahore,July,30,29,1,50000,4000,1000,53000,96.66666666666667,1766.6666666666667,51233.333333333336
65,Employee_65,HR,Manager,39,Male,Peshawar,July,30,30,0,55000,2000,1250,55750,100.0,1858.3333333333333,55750.0
66,Employee_66,IT,Officer,40,Female,Mardan,July,30,20,10,60000,2500,1500,61000,66.66666666666666,2033.3333333333333,40666.666666666664
67,Employee_67,Finance,Assistant,41,Male,Swat,July,30,21,9,65000,3000,1750,66250,70.0,2208.3333333333335,46375.0
68,Employee_68,Sales,Executive,42,Female,Islamabad,July,30,22,8,70000,3500,1000,72500,73.33333333333333,2416.6666666666665,53166.666666666664
69,Employee_69,Marketing,Analyst,43,Male,Lahore,July,30,23,7,75000,4000,1250,77750,76.66666666666667,2591.6666666666665,59608.33333333333
70,Employee_70,HR,Manager,44,Female,Peshawar,July,30,24,6,30000,2000,1500,30500,80.0,1016.6666666666666,24400.0
71,Employee_71,IT,Officer,45,Male,Mardan,July,30,25,5,35000,2500,1750,35750,83.33333333333334,1191.6666666666667,29791.666666666668
72,Employee_72,Finance,Assistant,22,Female,Swat,July,30,26,4,40000,3000,1000,42000,86.66666666666667,1400.0,36400.0
73,Employee_73,Sales,Executive,23,Male,Islamabad,July,30,27,3,45000,3500,1250,47250,90.0,1575.0,42525.0
74,Employee_74,Marketing,Analyst,24,Female,Lahore,July,30,28,2,50000,4000,1500,52500,93.33333333333333,1750.0,49000.0
75,Employee_75,HR,Manager,25,Male,Peshawar,July,30,29,1,55000,2000,1750,55250,96.66666666666667,1841.6666666666667,53408.333333333336
76,Employee_76,IT,Officer,26,Female,Mardan,July,30,30,0,60000,2500,1000,61500,100.0,2050.0,61500.0
77,Employee_77,Finance,Assistant,27,Male,Swat,July,30,20,10,65000,3000,1250,66750,66.66666666666666,2225.0,44500.0
78,Employee_78,Sales,Executive,28,Female,Islamabad,July,30,21,9,70000,3500,1500,72000,70.0,2400.0,50400.0
79,Employee_79,Marketing,Analyst,29,Male,Lahore,July,30,22,8,75000,4000,1750,77250,73.33333333333333,2575.0,56650.0
80,Employee_80,HR,Manager,30,Female,Peshawar,July,30,23,7,30000,2000,1000,31000,76.66666666666667,1033.3333333333333,23766.666666666664
81,Employee_81,IT,Officer,31,Male,Mardan,July,30,24,6,35000,2500,1250,36250,80.0,1208.3333333333333,29000.0
82,Employee_82,Finance,Assistant,32,Female,Swat,July,30,25,5,40000,3000,1500,41500,83.33333333333334,1383.3333333333333,34583.33333333333
83,Employee_83,Sales,Executive,33,Male,Islamabad,July,30,26,4,45000,3500,1750,46750,86.66666666666667,1558.3333333333333,40516.666666666664
84,Employee_84,Marketing,Analyst,34,Female,Lahore,July,30,27,3,50000,4000,1000,53000,90.0,1766.6666666666667,47700.0
85,Employee_85,HR,Manager,35,Male,Peshawar,July,30,28,2,55000,2000,1250,55750,93.33333333333333,1858.3333333333333,52033.33333333333
86,Employee_86,IT,Officer,36,Female,Mardan,July,30,29,1,60000,2500,1500,61000,96.66666666666667,2033.3333333333333,58966.666666666664
87,Employee_87,Finance,Assistant,37,Male,Swat,July,30,30,0,65000,3000,1750,66250,100.0,2208.3333333333335,66250.0
88,Employee_88,Sales,Executive,38,Female,Islamabad,July,30,20,10,70000,3500,1000,72500,66.66666666666666,2416.6666666666665,48333.33333333333
89,Employee_89,Marketing,Analyst,39,Male,Lahore,July,30,21,9,75000,4000,1250,77750,70.0,2591.6666666666665,54425.0
90,Employee_90,HR,Manager,40,Female,Peshawar,July,30,22,8,30000,2000,1500,30500,73.33333333333333,1016.6666666666666,22366.666666666664
91,Employee_91,IT,Officer,41,Male,Mardan,July,30,23,7,35000,2500,1750,35750,76.66666666666667,1191.6666666666667,27408.333333333336
92,Employee_92,Finance,Assistant,42,Female,Swat,July,30,24,6,40000,3000,1000,42000,80.0,1400.0,33600.0
93,Employee_93,Sales,Executive,43,Male,Islamabad,July,30,25,5,45000,3500,1250,47250,83.33333333333334,1575.0,39375.0
94,Employee_94,Marketing,Analyst,44,Female,Lahore,July,30,26,4,50000,4000,1500,52500,86.66666666666667,1750.0,45500.0
95,Employee_95,HR,Manager,45,Male,Peshawar,July,30,27,3,55000,2000,1750,55250,90.0,1841.6666666666667,49725.0
96,Employee_96,IT,Officer,22,Female,Mardan,July,30,28,2,60000,2500,1000,61500,93.33333333333333,2050.0,57400.0
97,Employee_97,Finance,Assistant,23,Male,Swat,July,30,29,1,65000,3000,1250,66750,96.66666666666667,2225.0,64525.0
98,Employee_98,Sales,Executive,24,Female,Islamabad,July,30,30,0,70000,3500,1500,72000,100.0,2400.0,72000.0
99,Employee_99,Marketing,Analyst,25,Male,Lahore,July,30,20,10,75000,4000,1750,77250,66.66666666666666,2575.0,51500.0
100,Employee_100,HR,Manager,26,Female,Peshawar,July,30,21,9,30000,2000,1000,31000,70.0,1033.3333333333333,21700.0
101,Employee_101,IT,Officer,27,Male,Mardan,July,30,22,8,35000,2500,1250,36250,73.33333333333333,1208.3333333333333,26583.333333333332
102,Employee_102,Finance,Assistant,28,Female,Swat,July,30,23,7,40000,3000,1500,41500,76.66666666666667,1383.3333333333333,31816.666666666664
103,Employee_103,Sales,Executive,29,Male,Islamabad,July,30,24,6,45000,3500,1750,46750,80.0,1558.3333333333333,37400.0
104,Employee_104,Marketing,Analyst,30,Female,Lahore,July,30,25,5,50000,4000,1000,53000,83.33333333333334,1766.6666666666667,44166.66666666667
105,Employee_105,HR,Manager,31,Male,Peshawar,July,30,26,4,55000,2000,1250,55750,86.66666666666667,1858.3333333333333,48316.666666666664
106,Employee_106,IT,Officer,32,Female,Mardan,July,30,27,3,60000,2500,1500,61000,90.0,2033.3333333333333,54900.0
107,Employee_107,Finance,Assistant,33,Male,Swat,July,30,28,2,65000,3000,1750,66250,93.33333333333333,2208.3333333333335,61833.333333333336
108,Employee_108,Sales,Executive,34,Female,Islamabad,July,30,29,1,70000,3500,1000,72500,96.66666666666667,2416.6666666666665,70083.33333333333
109,Employee_109,Marketing,Analyst,35,Male,Lahore,July,30,30,0,75000,4000,1250,77750,100.0,2591.6666666666665,77750.0
110,Employee_110,HR,Manager,36,Female,Peshawar,July,30,20,10,30000,2000,1500,30500,66.66666666666666,1016.6666666666666,20333.333333333332
111,Employee_111,IT,Officer,37,Male,Mardan,July,30,21,9,35000,2500,1750,35750,70.0,1191.6666666666667,25025.0
112,Employee_112,Finance,Assistant,38,Female,Swat,July,30,22,8,40000,3000,1000,42000,73.33333333333333,1400.0,30800.0
113,Employee_113,Sales,Executive,39,Male,Islamabad,July,30,23,7,45000,3500,1250,47250,76.66666666666667,1575.0,36225.0
114,Employee_114,Marketing,Analyst,40,Female,Lahore,July,30,24,6,50000,4000,1500,52500,80.0,1750.0,42000.0
115,Employee_115,HR,Manager,41,Male,Peshawar,July,30,25,5,55000,2000,1750,55250,83.33333333333334,1841.6666666666667,46041.66666666667
116,Employee_116,IT,Officer,42,Female,Mardan,July,30,26,4,60000,2500,1000,61500,86.66666666666667,2050.0,53300.0
117,Employee_117,Finance,Assistant,43,Male,Swat,July,30,27,3,65000,3000,1250,66750,90.0,2225.0,60075.0
118,Employee_118,Sales,Executive,44,Female,Islamabad,July,30,28,2,70000,3500,1500,72000,93.33333333333333,2400.0,67200.0
119,Employee_119,Marketing,Analyst,45,Male,Lahore,July,30,29,1,75000,4000,1750,77250,96.66666666666667,2575.0,74675.0
120,Employee_120,HR,Manager,22,Female,Peshawar,July,30,30,0,30000,2000,1000,31000,100.0,1033.3333333333333,30999.999999999996
121,Employee_121,IT,Officer,23,Male,Mardan,July,30,20,10,35000,2500,1250,36250,66.66666666666666,1208.3333333333333,24166.666666666664
122,Employee_122,Finance,Assistant,24,Female,Swat,July,30,21,9,40000,3000,1500,41500,70.0,1383.3333333333333,29050.0
123,Employee_123,Sales,Executive,25,Male,Islamabad,July,30,22,8,45000,3500,1750,46750,73.33333333333333,1558.3333333333333,34283.33333333333
124,Employee_124,Marketing,Analyst,26,Female,Lahore,July,30,23,7,50000,4000,1000,53000,76.66666666666667,1766.6666666666667,40633.333333333336
125,Employee_125,HR,Manager,27,Male,Peshawar,July,30,24,6,55000,2000,1250,55750,80.0,1858.3333333333333,44600.0
126,Employee_126,IT,Officer,28,Female,Mardan,July,30,25,5,60000,2500,1500,61000,83.33333333333334,2033.3333333333333,50833.33333333333
127,Employee_127,Finance,Assistant,29,Male,Swat,July,30,26,4,65000,3000,1750,66250,86.66666666666667,2208.3333333333335,57416.66666666667
128,Employee_128,Sales,Executive,30,Female,Islamabad,July,30,27,3,70000,3500,1000,72500,90.0,2416.6666666666665,65249.99999999999
129,Employee_129,Marketing,Analyst,31,Male,Lahore,July,30,28,2,75000,4000,1250,77750,93.33333333333333,2591.6666666666665,72566.66666666666
130,Employee_130,HR,Manager,32,Female,Peshawar,July,30,29,1,30000,2000,1500,30500,96.66666666666667,1016.6666666666666,29483.333333333332
131,Employee_131,IT,Officer,33,Male,Mardan,July,30,30,0,35000,2500,1750,35750,100.0,1191.6666666666667,35750.0
132,Employee_132,Finance,Assistant,34,Female,Swat,July,30,20,10,40000,3000,1000,42000,66.66666666666666,1400.0,28000.0
133,Employee_133,Sales,Executive,35,Male,Islamabad,July,30,21,9,45000,3500,1250,47250,70.0,1575.0,33075.0
134,Employee_134,Marketing,Analyst,36,Female,Lahore,July,30,22,8,50000,4000,1500,52500,73.33333333333333,1750.0,38500.0
135,Employee_135,HR,Manager,37,Male,Peshawar,July,30,23,7,55000,2000,1750,55250,76.66666666666667,1841.6666666666667,42358.333333333336
136,Employee_136,IT,Officer,38,Female,Mardan,July,30,24,6,60000,2500,1000,61500,80.0,2050.0,49200.0
137,Employee_137,Finance,Assistant,39,Male,Swat,July,30,25,5,65000,3000,1250,66750,83.33333333333334,2225.0,55625.0
138,Employee_138,Sales,Executive,40,Female,Islamabad,July,30,26,4,70000,3500,1500,72000,86.66666666666667,2400.0,62400.0
139,Employee_139,Marketing,Analyst,41,Male,Lahore,July,30,27,3,75000,4000,1750,77250,90.0,2575.0,69525.0
140,Employee_140,HR,Manager,42,Female,Peshawar,July,30,28,2,30000,2000,1000,31000,93.33333333333333,1033.3333333333333,28933.333333333332
141,Employee_141,IT,Officer,43,Male,Mardan,July,30,29,1,35000,2500,1250,36250,96.66666666666667,1208.3333333333333,35041.666666666664
142,Employee_142,Finance,Assistant,44,Female,Swat,July,30,30,0,40000,3000,1500,41500,100.0,1383.3333333333333,41500.0
143,Employee_143,Sales,Executive,45,Male,Islamabad,July,30,20,10,45000,3500,1750,46750,66.66666666666666,1558.3333333333333,31166.666666666664
144,Employee_144,Marketing,Analyst,22,Female,Lahore,July,30,21,9,50000,4000,1000,53000,70.0,1766.6666666666667,37100.0
145,Employee_145,HR,Manager,23,Male,Peshawar,July,30,22,8,55000,2000,1250,55750,73.33333333333333,1858.3333333333333,40883.33333333333
146,Employee_146,IT,Officer,24,Female,Mardan,July,30,23,7,60000,2500,1500,61000,76.66666666666667,2033.3333333333333,46766.666666666664
147,Employee_147,Finance,Assistant,25,Male,Swat,July,30,24,6,65000,3000,1750,66250,80.0,2208.3333333333335,53000.0
148,Employee_148,Sales,Executive,26,Female,Islamabad,July,30,25,5,70000,3500,1000,72500,83.33333333333334,2416.6666666666665,60416.666666666664
149,Employee_149,Marketing,Analyst,27,Male,Lahore,July,30,26,4,75000,4000,1250,77750,86.66666666666667,2591.6666666666665,67383.33333333333
150,Employee_150,HR,Manager,28,Female,Peshawar,July,30,27,3,30000,2000,1500,30500,90.0,1016.6666666666666,27450.0
151,Employee_151,IT,Officer,29,Male,Mardan,July,30,28,2,35000,2500,1750,35750,93.33333333333333,1191.6666666666667,33366.66666666667
152,Employee_152,Finance,Assistant,30,Female,Swat,July,30,29,1,40000,3000,1000,42000,96.66666666666667,1400.0,40600.0
153,Employee_153,Sales,Executive,31,Male,Islamabad,July,30,30,0,45000,3500,1250,47250,100.0,1575.0,47250.0
154,Employee_154,Marketing,Analyst,32,Female,Lahore,July,30,20,10,50000,4000,1500,52500,66.66666666666666,1750.0,35000.0
155,Employee_155,HR,Manager,33,Male,Peshawar,July,30,21,9,55000,2000,1750,55250,70.0,1841.6666666666667,38675.0
156,Employee_156,IT,Officer,34,Female,Mardan,July,30,22,8,60000,2500,1000,61500,73.33333333333333,2050.0,45100.0
157,Employee_157,Finance,Assistant,35,Male,Swat,July,30,23,7,65000,3000,1250,66750,76.66666666666667,2225.0,51175.0
158,Employee_158,Sales,Executive,36,Female,Islamabad,July,30,24,6,70000,3500,1500,72000,80.0,2400.0,57600.0
159,Employee_159,Marketing,Analyst,37,Male,Lahore,July,30,25,5,75000,4000,1750,77250,83.33333333333334,2575.0,64375.0
160,Employee_160,HR,Manager,38,Female,Peshawar,July,30,26,4,30000,2000,1000,31000,86.66666666666667,1033.3333333333333,26866.666666666664
161,Employee_161,IT,Officer,39,Male,Mardan,July,30,27,3,35000,2500,1250,36250,90.0,1208.3333333333333,32624.999999999996
162,Employee_162,Finance,Assistant,40,Female,Swat,July,30,28,2,40000,3000,1500,41500,93.33333333333333,1383.3333333333333,38733.33333333333
163,Employee_163,Sales,Executive,41,Male,Islamabad,July,30,29,1,45000,3500,1750,46750,96.66666666666667,1558.3333333333333,45191.666666666664
164,Employee_164,Marketing,Analyst,42,Female,Lahore,July,30,30,0,50000,4000,1000,53000,100.0,1766.6666666666667,53000.0
165,Employee_165,HR,Manager,43,Male,Peshawar,July,30,20,10,55000,2000,1250,55750,66.66666666666666,1858.3333333333333,37166.666666666664
166,Employee_166,IT,Officer,44,Female,Mardan,July,30,21,9,60000,2500,1500,61000,70.0,2033.3333333333333,42700.0
167,Employee_167,Finance,Assistant,45,Male,Swat,July,30,22,8,65000,3000,1750,66250,73.33333333333333,2208.3333333333335,48583.333333333336
168,Employee_168,Sales,Executive,22,Female,Islamabad,July,30,23,7,70000,3500,1000,72500,76.66666666666667,2416.6666666666665,55583.33333333333
169,Employee_169,Marketing,Analyst,23,Male,Lahore,July,30,24,6,75000,4000,1250,77750,80.0,2591.6666666666665,62200.0
170,Employee_170,HR,Manager,24,Female,Peshawar,July,30,25,5,30000,2000,1500,30500,83.33333333333334,1016.6666666666666,25416.666666666664
171,Employee_171,IT,Officer,25,Male,Mardan,July,30,26,4,35000,2500,1750,35750,86.66666666666667,1191.6666666666667,30983.333333333336
172,Employee_172,Finance,Assistant,26,Female,Swat,July,30,27,3,40000,3000,1000,42000,90.0,1400.0,37800.0
173,Employee_173,Sales,Executive,27,Male,Islamabad,July,30,28,2,45000,3500,1250,47250,93.33333333333333,1575.0,44100.0
174,Employee_174,Marketing,Analyst,28,Female,Lahore,July,30,29,1,50000,4000,1500,52500,96.66666666666667,1750.0,50750.0
175,Employee_175,HR,Manager,29,Male,Peshawar,July,30,30,0,55000,2000,1750,55250,100.0,1841.6666666666667,55250.0
176,Employee_176,IT,Officer,30,Female,Mardan,July,30,20,10,60000,2500,1000,61500,66.66666666666666,2050.0,41000.0
177,Employee_177,Finance,Assistant,31,Male,Swat,July,30,21,9,65000,3000,1250,66750,70.0,2225.0,46725.0
178,Employee_178,Sales,Executive,32,Female,Islamabad,July,30,22,8,70000,3500,1500,72000,73.33333333333333,2400.0,52800.0
179,Employee_179,Marketing,Analyst,33,Male,Lahore,July,30,23,7,75000,4000,1750,77250,76.66666666666667,2575.0,59225.0
180,Employee_180,HR,Manager,34,Female,Peshawar,July,30,24,6,30000,2000,1000,31000,80.0,1033.3333333333333,24800.0
181,Employee_181,IT,Officer,35,Male,Mardan,July,30,25,5,35000,2500,1250,36250,83.33333333333334,1208.3333333333333,30208.333333333332
182,Employee_182,Finance,Assistant,36,Female,Swat,July,30,26,4,40000,3000,1500,41500,86.66666666666667,1383.3333333333333,35966.666666666664
183,Employee_183,Sales,Executive,37,Male,Islamabad,July,30,27,3,45000,3500,1750,46750,90.0,1558.3333333333333,42075.0
184,Employee_184,Marketing,Analyst,38,Female,Lahore,July,30,28,2,50000,4000,1000,53000,93.33333333333333,1766.6666666666667,49466.66666666667
185,Employee_185,HR,Manager,39,Male,Peshawar,July,30,29,1,55000,2000,1250,55750,96.66666666666667,1858.3333333333333,53891.666666666664
186,Employee_186,IT,Officer,40,Female,Mardan,July,30,30,0,60000,2500,1500,61000,100.0,2033.3333333333333,61000.0
187,Employee_187,Finance,Assistant,41,Male,Swat,July,30,20,10,65000,3000,1750,66250,66.66666666666666,2208.3333333333335,44166.66666666667
188,Employee_188,Sales,Executive,42,Female,Islamabad,July,30,21,9,70000,3500,1000,72500,70.0,2416.6666666666665,50750.0
189,Employee_189,Marketing,Analyst,43,Male,Lahore,July,30,22,8,75000,4000,1250,77750,73.33333333333333,2591.6666666666665,57016.666666666664
190,Employee_190,HR,Manager,44,Female,Peshawar,July,30,23,7,30000,2000,1500,30500,76.66666666666667,1016.6666666666666,23383.333333333332
191,Employee_191,IT,Officer,45,Male,Mardan,July,30,24,6,35000,2500,1750,35750,80.0,1191.6666666666667,28600.0
192,Employee_192,Finance,Assistant,22,Female,Swat,July,30,25,5,40000,3000,1000,42000,83.33333333333334,1400.0,35000.0
193,Employee_193,Sales,Executive,23,Male,Islamabad,July,30,26,4,45000,3500,1250,47250,86.66666666666667,1575.0,40950.0
194,Employee_194,Marketing,Analyst,24,Female,Lahore,July,30,27,3,50000,4000,1500,52500,90.0,1750.0,47250.0
195,Employee_195,HR,Manager,25,Male,Peshawar,July,30,28,2,55000,2000,1750,55250,93.33333333333333,1841.6666666666667,51566.66666666667
196,Employee_196,IT,Officer,26,Female,Mardan,July,30,29,1,60000,2500,1000,61500,96.66666666666667,2050.0,59450.0
197,Employee_197,Finance,Assistant,27,Male,Swat,July,30,30,0,65000,3000,1250,66750,100.0,2225.0,66750.0
198,Employee_198,Sales,Executive,28,Female,Islamabad,July,30,20,10,70000,3500,1500,72000,66.66666666666666,2400.0,48000.0
199,Employee_199,Marketing,Analyst,29,Male,Lahore,July,30,21,9,75000,4000,1750,77250,70.0,2575.0,54075.0
200,Employee_200,HR,Manager,30,Female,Peshawar,July,30,22,8,30000,2000,1000,31000,73.33333333333333,1033.3333333333333,22733.333333333332
201,Employee_201,IT,Officer,31,Male,Mardan,July,30,23,7,35000,2500,1250,36250,76.66666666666667,1208.3333333333333,27791.666666666664
202,Employee_202,Finance,Assistant,32,Female,Swat,July,30,24,6,40000,3000,1500,41500,80.0,1383.3333333333333,33200.0
203,Employee_203,Sales,Executive,33,Male,Islamabad,July,30,25,5,45000,3500,1750,46750,83.33333333333334,1558.3333333333333,38958.33333333333
204,Employee_204,Marketing,Analyst,34,Female,Lahore,July,30,26,4,50000,4000,1000,53000,86.66666666666667,1766.6666666666667,45933.333333333336
205,Employee_205,HR,Manager,35,Male,Peshawar,July,30,27,3,55000,2000,1250,55750,90.0,1858.3333333333333,50175.0
206,Employee_206,IT,Officer,36,Female,Mardan,July,30,28,2,60000,2500,1500,61000,93.33333333333333,2033.3333333333333,56933.33333333333
