ReturnID,OrderID,ProductID,ReturnDate,Reason,RefundAmount,Status
154,652,278,2025-08-08,Damaged,621.98,Pending
155,653,162,2025-07-19,Late Delivery,275.03,Approved
156,657,353,2025-12-08,Changed Mind,332.71,Pending
157,659,64,2025-05-02,Late Delivery,892.75,Approved
158,662,385,2025-04-28,Wrong Item,84.12,Approved
159,665,47,2025-10-31,Late Delivery,269.1,Approved
160,668,242,2025-08-05,Damaged,632.69,Pending
161,670,146,2025-10-15,Wrong Item,1407.55,Approved
162,683,221,2025-04-01,Damaged,433.79,Pending
163,685,133,2025-08-14,Damaged,1201.88,Pending
164,687,5,2025-05-17,Damaged,240.45,Pending
165,696,311,2025-12-31,Damaged,262.89,Pending
166,698,124,2025-04-19,Damaged,762.46,Approved
167,700,460,2025-12-07,Wrong Item,175.1,Approved
168,705,408,2025-09-24,Late Delivery,474.2,Approved
169,706,483,2025-04-23,Damaged,654.92,Pending
170,716,348,2025-01-29,Late Delivery,499.92,Pending
171,719,419,2025-05-21,Changed Mind,506.02,Approved
172,721,197,2025-11-27,Wrong Item,351.59,Pending
173,723,366,2025-04-17,Late Delivery,70.19,Approved
174,725,18,2025-03-05,Damaged,553.14,Approved
175,734,223,2025-01-14,Changed Mind,679.31,Approved
176,737,474,2025-03-31,Late Delivery,324.14,Pending
177,753,330,2025-01-19,Changed Mind,522.81,Pending
178,756,211,2025-09-07,Late Delivery,417.21,Pending
179,760,170,2025-03-24,Changed Mind,419.43,Approved
180,764,43,2025-05-07,Damaged,943.17,Pending
181,766,313,2025-04-07,Wrong Item,404.96,Approved
182,768,359,2025-04-24,Damaged,412.14,Pending
183,769,138,2025-05-24,Wrong Item,1657.84,Approved
184,773,381,2025-09-28,Damaged,2131.44,Approved
185,774,381,2025-03-03,Damaged,2003.84,Approved
186,781,288,2025-07-25,Damaged,565.88,Pending
187,787,321,2025-07-02,Damaged,499.51,Pending
188,791,97,2025-09-09,Wrong Item,502.38,Pending
189,792,312,2025-02-05,Changed Mind,355.1,Approved
190,793,270,2025-01-07,Damaged,504.95,Approved
191,795,491,2025-10-05,Changed Mind,364.41,Approved
192,798,454,2025-03-14,Late Delivery,196.72,Pending
193,800,53,2025-07-02,Damaged,1017.82,Approved
194,809,43,2025-08-04,Damaged,922.89,Pending
195,812,216,2025-04-18,Wrong Item,388.33,Pending
196,814,245,2025-03-22,Damaged,1064.51,Pending
197,817,31,2025-11-06,Changed Mind,136.9,Pending
198,819,268,2025-03-06,Damaged,463.3,Pending
199,821,139,2025-02-23,Damaged,31.67,Approved
200,823,124,2025-02-13,Late Delivery,754.24,Approved
201,825,67,2025-06-19,Wrong Item,339.99,Approved
202,826,408,2025-09-02,Damaged,711.65,Approved
203,829,39,2025-10-18,Damaged,574.23,Pending
204,832,132,2025-11-29,Changed Mind,1572.72,Pending
205,837,239,2025-11-25,Changed Mind,1146.03,Pending
206,838,206,2025-02-03,Damaged,1379.62,Pending
207,840,308,2025-02-01,Damaged,1010.51,Pending
208,842,448,2025-08-03,Changed Mind,301.58,Pending
209,849,397,2025-11-04,Damaged,472.89,Pending
210,855,429,2025-02-15,Damaged,369.33,Pending
211,856,298,2025-12-08,Changed Mind,203.14,Approved
212,859,338,2025-06-07,Damaged,1175.22,Approved
213,863,207,2025-09-22,Damaged,582.63,Pending
214,864,391,2025-10-11,Damaged,247.0,Approved
215,869,55,2025-05-25,Wrong Item,330.19,Pending
216,870,252,2025-07-31,Late Delivery,148.38,Pending
217,871,83,2025-06-02,Late Delivery,717.06,Pending
218,874,444,2025-02-28,Wrong Item,513.55,Pending
219,876,382,2025-08-12,Late Delivery,367.78,Pending
220,881,59,2025-06-15,Late Delivery,526.17,Pending
221,889,68,2025-01-19,Changed Mind,291.3,Pending
222,892,317,2025-01-15,Changed Mind,564.17,Approved
223,895,406,2025-05-19,Wrong Item,1021.16,Pending
224,903,104,2025-04-07,Damaged,648.21,Approved
225,904,449,2025-02-26,Changed Mind,112.63,Pending
226,905,61,2025-02-13,Late Delivery,645.75,Approved
227,910,116,2025-12-25,Late Delivery,2285.53,Pending
228,914,73,2025-12-08,Damaged,211.01,Approved
229,919,7,2025-06-04,Damaged,710.05,Approved
230,920,439,2025-12-04,Changed Mind,553.02,Pending
231,931,42,2025-04-23,Changed Mind,325.29,Pending
232,932,496,2025-05-14,Late Delivery,226.79,Approved
233,933,394,2025-05-09,Late Delivery,731.45,Pending
234,943,369,2025-09-06,Damaged,145.94,Approved
235,953,258,2025-06-28,Late Delivery,422.8,Pending
236,957,207,2025-01-24,Changed Mind,170.11,Pending
237,960,227,2025-11-07,Wrong Item,1184.97,Approved
238,966,35,2025-08-07,Damaged,1077.25,Approved
239,970,57,2025-08-30,Wrong Item,1627.86,Pending
240,974,371,2025-02-23,Changed Mind,238.59,Pending
241,977,65,2025-12-26,Late Delivery,881.43,Pending
242,986,467,2025-09-24,Wrong Item,230.77,Approved
243,988,139,2025-10-29,Changed Mind,137.42,Pending
244,989,442,2025-07-16,Changed Mind,376.65,Approved
245,994,122,2025-01-08,Late Delivery,100.12,Pending
246,999,142,2025-10-10,Late Delivery,2701.94,Pending
247,1000,254,2025-04-27,Wrong Item,1007.65,Pending
