SaleID,OrderID,Revenue,Discount,Profit,Tax,ShippingCost
149,149,192,9.6,32.28,9.12,6
150,150,1455,0.0,109.25,72.75,13
151,151,1176,117.6,352.48,52.92,17
152,152,312,0.0,185.4,15.6,13
153,153,2292,229.2,395.66,103.14,4
154,154,336,16.8,26.24,15.96,5
155,155,1446,0.0,76.7,72.3,10
156,156,1090,54.5,175.72,51.78,6
157,157,1040,52.0,-13.4,49.4,8
158,158,545,27.25,253.86,25.89,18
159,159,499,0.0,-8.95,24.95,10
160,160,784,39.2,-50.44,37.24,10
161,161,386,19.3,4.36,18.34,5
162,162,651,65.1,61.6,29.3,7
163,163,358,17.9,67.09,17.01,20
164,164,1700,170.0,-29.5,76.5,15
165,165,266,26.6,112.43,11.97,12
166,166,1670,83.5,315.17,79.33,17
167,167,2255,225.5,-213.98,101.48,7
168,168,1690,0.0,-68.5,84.5,19
169,169,242,24.2,124.91,10.89,10
170,170,2280,228.0,-148.6,102.6,18
171,171,936,93.6,16.28,42.12,13
172,172,1182,0.0,178.9,59.1,6
173,173,1845,184.5,174.47,83.03,18
174,174,105,0.0,13.75,5.25,5
175,175,324,16.2,107.41,15.39,4
176,176,426,0.0,5.7,21.3,9
177,177,762,0.0,22.9,38.1,9
178,178,670,67.0,-65.15,30.15,6
179,179,2024,0.0,278.8,101.2,8
180,180,2780,278.0,289.9,125.1,17
181,181,1595,79.75,68.49,75.76,16
182,182,372,18.6,101.73,17.67,20
183,183,1996,0.0,0.2,99.8,4
184,184,2195,0.0,708.25,109.75,12
185,185,1107,110.7,120.49,49.81,19
186,186,394,19.7,319.59,18.71,14
187,187,1809,180.9,139.69,81.41,9
188,188,908,90.8,350.34,40.86,6
189,189,1005,0.0,341.75,50.25,13
190,190,1224,122.4,-132.48,55.08,3
191,191,557,27.85,108.69,26.46,20
192,192,816,81.6,32.68,36.72,15
193,193,2550,0.0,-73.5,127.5,16
194,194,408,20.4,352.22,19.38,4
195,195,1892,189.2,82.66,85.14,7
196,196,728,72.8,-26.56,32.76,9
197,197,862,43.1,-14.05,40.95,16
198,198,615,30.75,115.04,29.21,14
199,199,2495,124.75,473.74,118.51,8
200,200,2648,132.4,501.82,125.78,4
201,201,1434,0.0,-51.7,71.7,4
202,202,349,17.45,18.97,16.58,3
203,203,860,86.0,177.3,38.7,18
204,204,325,16.25,117.31,15.44,8
205,205,600,60.0,10.0,27.0,11
206,206,1368,68.4,-28.38,64.98,15
207,207,1580,0.0,527.0,79.0,9
208,208,180,18.0,96.9,8.1,12
209,209,218,21.8,84.39,9.81,14
210,210,1205,120.5,644.27,54.23,11
211,211,149,0.0,44.55,7.45,7
212,212,708,70.8,23.34,31.86,10
213,213,636,31.8,217.99,30.21,20
214,214,580,0.0,473.0,29.0,8
215,215,316,0.0,151.2,15.8,3
216,216,1244,62.2,59.71,59.09,11
217,217,845,84.5,22.48,38.02,10
218,218,473,47.3,52.41,21.29,18
219,219,1956,0.0,338.2,97.8,8
220,220,450,0.0,326.5,22.5,5
221,221,908,45.4,395.47,43.13,4
222,222,1038,103.8,125.49,46.71,6
223,223,558,55.8,-25.91,25.11,4
224,224,560,28.0,31.4,26.6,15
225,225,1581,79.05,325.85,75.1,12
226,226,2670,267.0,240.85,120.15,17
227,227,675,0.0,480.25,33.75,17
228,228,1198,59.9,70.19,56.91,13
229,229,424,0.0,59.8,21.2,17
230,230,1724,86.2,-16.09,81.89,20
231,231,1482,0.0,41.9,74.1,7
232,232,1980,0.0,358.0,99.0,7
233,233,1551,77.55,-109.22,73.67,18
234,234,744,74.4,190.12,33.48,18
235,235,1480,0.0,101.0,74.0,20
236,236,942,0.0,162.9,47.1,4
237,237,346,17.3,101.27,16.43,5
238,238,2395,119.75,217.49,113.76,14
239,239,1770,88.5,206.42,84.08,5
240,240,403,0.0,22.85,20.15,6
241,241,2525,252.5,69.88,113.62,9
242,242,985,98.5,775.17,44.33,12
243,243,672,0.0,194.4,33.6,18
244,244,1676,167.6,72.98,75.42,12
245,245,181,18.1,109.75,8.15,9
246,246,225,22.5,135.38,10.12,9
247,247,1065,0.0,0.75,53.25,6
248,248,2720,0.0,665.0,136.0,9
249,249,444,44.4,172.62,19.98,7
250,250,2260,113.0,485.65,107.35,4
251,251,1434,0.0,263.3,71.7,13
252,252,768,38.4,273.12,36.48,3
253,253,2815,0.0,353.25,140.75,6
254,254,732,36.6,5.63,34.77,16
255,255,1878,0.0,281.1,93.9,6
256,256,270,27.0,167.85,12.15,3
257,257,1032,51.6,222.38,49.02,19
258,258,539,0.0,63.05,26.95,4
259,259,1275,63.75,-43.31,60.56,4
260,260,402,0.0,128.9,20.1,6
261,261,327,32.7,138.58,14.72,9
262,262,441,22.05,23.0,20.95,6
263,263,555,0.0,10.25,27.75,20
264,264,104,10.4,22.92,4.68,10
265,265,418,0.0,141.1,20.9,15
266,266,1236,123.6,202.78,55.62,20
267,267,1056,52.8,672.04,50.16,17
268,268,1336,66.8,214.74,63.46,15
269,269,241,0.0,64.95,12.05,14
270,270,1482,148.2,-97.89,66.69,6
271,271,256,12.8,72.04,12.16,20
272,272,450,45.0,280.75,20.25,8
273,273,915,45.75,491.79,43.46,13
274,274,233,0.0,46.35,11.65,17
275,275,2648,132.4,500.82,125.78,5
276,276,1320,66.0,857.3,62.7,4
277,277,2152,107.6,529.18,102.22,17
278,278,897,0.0,249.15,44.85,3
279,279,454,22.7,179.73,21.57,20
280,280,2710,135.5,252.78,128.72,3
281,281,2228,222.8,399.94,100.26,9
282,282,1126,56.3,78.21,53.49,16
283,283,506,50.6,-39.37,22.77,16
284,284,946,47.3,73.76,44.94,16
285,285,1796,89.8,526.89,85.31,14
286,286,1030,51.5,175.57,48.93,20
287,287,1005,0.0,336.75,50.25,18
288,288,1125,112.5,726.88,50.62,5
289,289,880,88.0,68.4,39.6,20
290,290,312,15.6,7.58,14.82,17
291,291,1056,52.8,164.04,50.16,12
292,292,1832,183.2,330.36,82.44,4
293,293,3270,163.5,611.17,155.33,5
294,294,1047,0.0,442.65,52.35,6
295,295,70,3.5,1.17,3.33,8
296,296,964,48.2,565.01,45.79,5
297,297,534,26.7,157.93,25.37,10
298,298,294,0.0,52.3,14.7,11
299,299,500,25.0,223.25,23.75,12
300,300,2105,210.5,639.77,94.73,15
301,301,2448,122.4,202.32,116.28,15
302,302,612,30.6,43.33,29.07,11
303,303,324,16.2,101.41,15.39,10
304,304,772,77.2,-25.94,34.74,8
305,305,615,30.75,124.04,29.21,6
306,306,759,37.95,10.0,36.05,9
307,307,451,0.0,-5.55,22.55,7
308,308,1260,126.0,184.3,56.7,8
309,309,491,24.55,-2.87,23.32,16
310,310,1158,0.0,72.1,57.9,11
311,311,1353,67.65,61.08,64.27,8
312,312,380,0.0,213.0,19.0,18
313,313,231,0.0,104.45,11.55,4
314,314,920,0.0,263.0,46.0,15
315,315,2020,202.0,45.1,90.9,18
316,316,321,0.0,41.95,16.05,15
317,317,1200,60.0,47.0,57.0,12
318,318,547,0.0,48.65,27.35,17
319,319,876,43.8,69.59,41.61,9
320,320,599,29.95,36.6,28.45,5
321,321,1122,0.0,302.9,56.1,3
322,322,864,86.4,-57.28,38.88,12
323,323,1488,74.4,222.92,70.68,4
324,324,1920,192.0,458.6,86.4,19
325,325,2060,0.0,678.0,103.0,4
326,326,432,0.0,52.4,21.6,7
327,327,780,0.0,89.0,39.0,6
328,328,698,34.9,252.94,33.16,13
329,329,2000,200.0,-138.0,90.0,20
330,330,699,34.95,149.85,33.2,7
331,331,1488,74.4,72.92,70.68,10
332,332,141,0.0,102.95,7.05,3
333,333,374,37.4,14.77,16.83,12
334,334,1548,0.0,331.6,77.4,7
335,335,1800,180.0,-157.0,81.0,4
336,336,2185,109.25,255.96,103.79,16
337,337,2200,110.0,251.5,104.5,9
338,338,810,40.5,33.02,38.48,8
339,339,1300,130.0,338.5,58.5,17
340,340,1036,0.0,530.2,51.8,10
341,341,1431,143.1,-184.5,64.4,13
342,342,1532,0.0,-61.6,76.6,5
343,343,736,73.6,36.28,33.12,17
344,344,1518,0.0,211.1,75.9,4
345,345,1086,54.3,86.11,51.59,16
346,346,1495,0.0,404.25,74.75,16
347,347,318,15.9,69.99,15.11,11
348,348,1530,153.0,-164.85,68.85,3
349,349,1980,99.0,307.95,94.05,19
350,350,506,0.0,42.7,25.3,5
351,351,1092,54.6,297.53,51.87,12
352,352,688,68.8,135.24,30.96,3
353,353,124,0.0,39.8,6.2,14
354,354,525,26.25,20.81,24.94,13
355,355,585,58.5,-68.83,26.33,5
356,356,561,0.0,146.95,28.05,6
357,357,566,0.0,124.7,28.3,20
358,358,452,0.0,255.4,22.6,20
359,359,813,40.65,480.73,38.62,4
360,360,1130,56.5,620.82,53.68,14
361,361,273,0.0,85.35,13.65,5
362,362,476,23.8,104.59,22.61,6
363,363,524,26.2,58.91,24.89,16
364,364,474,23.7,202.78,22.52,17
365,365,666,0.0,239.7,33.3,19
366,366,1431,71.55,-122.52,67.97,19
367,367,555,27.75,387.89,26.36,8
368,368,1152,0.0,246.4,57.6,14
369,369,1085,0.0,257.75,54.25,8
370,370,1202,0.0,251.9,60.1,4
371,371,1752,0.0,-20.6,87.6,9
372,372,483,24.15,7.91,22.94,17
373,373,1410,70.5,318.52,66.98,18
374,374,555,55.5,349.52,24.98,20
375,375,1314,131.4,48.47,59.13,7
376,376,1060,106.0,584.3,47.7,18
377,377,2500,0.0,75.0,125.0,15
378,378,759,0.0,46.05,37.95,9
379,379,750,0.0,23.5,37.5,20
380,380,258,0.0,-13.9,12.9,18
381,381,453,22.65,40.83,21.52,7
382,382,2036,101.8,395.49,96.71,14
383,383,795,79.5,222.73,35.77,17
384,384,1232,123.2,-114.64,55.44,16
385,385,2815,0.0,360.25,140.75,9
386,386,1293,0.0,61.35,64.65,3
387,387,1416,141.6,-160.32,63.72,7
388,388,1185,59.25,182.46,56.29,20
389,389,443,22.15,63.81,21.04,18
390,390,440,22.0,269.1,20.9,18
391,391,1353,135.3,-140.19,60.89,16
392,392,1892,94.6,352.53,89.87,19
393,393,963,0.0,157.85,48.15,13
394,394,171,8.55,35.33,8.12,14
395,395,1071,53.55,-105.42,50.87,19
396,396,484,0.0,351.8,24.2,8
397,397,957,0.0,76.15,47.85,20
398,398,539,26.95,23.45,25.6,18
399,399,354,0.0,271.3,17.7,19
400,400,485,0.0,5.75,24.25,18
401,401,880,0.0,134.0,44.0,12
402,402,650,32.5,243.62,30.88,7
403,403,2416,0.0,589.2,120.8,6
404,404,747,37.35,260.17,35.48,3
405,405,2165,0.0,527.75,108.25,14
406,406,2670,267.0,532.85,120.15,5
407,407,1446,144.6,-56.67,65.07,6
408,408,944,47.2,641.96,44.84,6
409,409,484,24.2,330.81,22.99,6
410,410,228,22.8,50.94,10.26,4
411,411,1317,0.0,445.15,65.85,20
412,412,1050,105.0,39.75,47.25,14
413,413,2630,0.0,471.5,131.5,7
414,414,35,1.75,-4.41,1.66,9
415,415,1284,64.2,148.81,60.99,18
416,416,2575,257.5,-248.38,115.88,15
417,417,2212,0.0,420.4,110.6,17
418,418,756,75.6,-13.62,34.02,4
419,419,500,50.0,-42.5,22.5,13
420,420,840,0.0,106.0,42.0,12
421,421,708,70.8,432.34,31.86,20
422,422,1350,67.5,-54.62,64.12,4
423,423,734,36.7,140.43,34.87,6
424,424,2280,114.0,-42.3,108.3,20
425,425,1484,148.4,33.82,66.78,15
426,426,1545,0.0,2.75,77.25,4
427,427,1020,51.0,214.55,48.45,14
428,428,473,23.65,36.88,22.47,8
429,429,968,96.8,609.64,43.56,18
430,430,1280,128.0,268.4,57.6,6
431,431,1068,106.8,90.14,48.06,13
432,432,310,15.5,32.77,14.73,11
433,433,616,61.6,29.68,27.72,13
434,434,1620,0.0,620.0,81.0,14
435,435,1185,59.25,182.46,56.29,20
436,436,1668,166.8,164.14,75.06,20
437,437,1964,196.4,-44.78,88.38,4
438,438,466,46.6,78.43,20.97,12
439,439,84,4.2,27.81,3.99,11
440,440,1602,80.1,388.8,76.1,10
441,441,1220,122.0,474.1,54.9,4
442,442,924,92.4,-77.98,41.58,4
443,443,250,12.5,-9.38,11.88,12
444,444,1428,71.4,-122.23,67.83,7
445,445,242,12.1,133.4,11.5,13
446,446,350,0.0,154.5,17.5,6
447,447,795,79.5,150.73,35.77,14
448,448,1120,112.0,237.6,50.4,10
449,449,272,27.2,4.56,12.24,14
450,450,2380,238.0,-180.1,107.1,10
451,451,948,94.8,-63.46,42.66,10
452,452,1404,0.0,627.8,70.2,10
453,453,582,58.2,87.61,26.19,16
454,454,316,31.6,61.18,14.22,16
455,455,1500,150.0,-4.5,67.5,11
456,456,1145,57.25,530.36,54.39,3
457,457,496,49.6,-8.92,22.32,7
458,458,409,40.9,103.69,18.41,7
459,459,1794,179.4,263.87,80.73,7
460,460,882,0.0,248.9,44.1,16
461,461,876,0.0,21.2,43.8,3
462,462,624,0.0,67.8,31.2,11
463,463,1612,161.2,443.26,72.54,11
464,464,1875,187.5,-9.88,84.38,18
465,465,1428,71.4,-40.23,67.83,9
466,466,1170,58.5,266.92,55.58,7
467,467,1512,0.0,8.4,75.6,3
468,468,2224,222.4,-65.48,100.08,15
469,469,711,71.1,96.9,32.0,4
470,470,2955,0.0,451.25,147.75,11
471,471,360,0.0,294.0,18.0,20
472,472,868,43.4,248.37,41.23,19
473,473,1386,69.3,144.86,65.84,11
474,474,1101,110.1,154.35,49.55,13
475,475,1276,0.0,119.2,63.8,9
476,476,536,26.8,371.74,25.46,4
477,477,720,0.0,497.0,36.0,7
478,478,2440,244.0,528.2,109.8,3
479,479,1036,51.8,296.99,49.21,6
480,480,479,47.9,17.54,21.56,6
481,481,259,12.95,111.75,12.3,11
482,482,505,25.25,32.76,23.99,7
483,483,371,0.0,32.45,18.55,15
484,484,1628,0.0,630.6,81.4,8
485,485,958,47.9,76.59,45.51,16
486,486,1580,158.0,-95.1,71.1,6
487,487,1912,95.6,-165.42,90.82,11
488,488,624,31.2,351.16,29.64,16
489,489,946,47.3,168.76,44.94,17
490,490,1296,0.0,495.2,64.8,12
491,491,585,58.5,-68.83,26.33,5
492,492,2165,0.0,854.75,108.25,17
493,493,792,79.2,474.16,35.64,5
494,494,1732,86.6,-72.87,82.27,4
495,495,1488,148.8,165.24,66.96,11
496,496,804,0.0,258.8,40.2,11
497,497,1530,76.5,-95.17,72.67,6
498,498,1770,177.0,69.35,79.65,14
499,499,2136,0.0,402.2,106.8,7
500,500,886,88.6,111.53,39.87,10
501,501,535,26.75,35.84,25.41,17
502,502,636,0.0,251.2,31.8,17
503,503,2535,126.75,519.84,120.41,3
504,504,3045,0.0,399.75,152.25,18
505,505,175,0.0,27.25,8.75,4
506,506,795,39.75,494.49,37.76,16
507,507,3045,152.25,257.11,144.64,16
508,508,1052,105.2,78.46,47.34,13
509,509,2196,219.6,22.58,98.82,15
510,510,1266,126.6,-39.57,56.97,9
511,511,1784,0.0,118.8,89.2,8
512,512,1196,0.0,327.2,59.8,9
513,513,1518,0.0,196.1,75.9,19
514,514,475,23.75,37.69,22.56,11
515,515,392,0.0,119.4,19.6,19
516,516,282,0.0,135.9,14.1,6
517,517,250,25.0,-15.25,11.25,6
518,518,777,77.7,115.34,34.96,18
519,519,477,0.0,192.15,23.85,9
520,520,590,29.5,58.47,28.03,12
521,521,579,57.9,326.04,26.06,10
522,522,1296,64.8,426.64,61.56,19
523,523,311,0.0,40.45,15.55,19
524,524,651,32.55,196.53,30.92,4
525,525,982,98.2,-39.39,44.19,19
526,526,2780,139.0,435.95,132.05,3
527,527,2130,106.5,-36.68,101.18,9
528,528,735,73.5,294.42,33.08,14
529,529,2080,0.0,244.0,104.0,4
530,530,1322,0.0,276.9,66.1,5
531,531,1275,0.0,380.25,63.75,3
532,532,882,88.2,165.11,39.69,16
533,533,515,51.5,54.32,23.18,19
534,534,227,22.7,-5.92,10.22,3
535,535,3205,160.25,385.51,152.24,12
536,536,745,74.5,171.98,33.52,15
537,537,699,34.95,418.85,33.2,17
538,538,1572,0.0,64.4,78.6,17
539,539,2765,138.25,292.41,131.34,18
540,540,790,39.5,117.98,37.52,17
541,541,260,0.0,-5.0,13.0,16
542,542,159,7.95,47.5,7.55,12
543,543,774,0.0,157.3,38.7,12
544,544,760,76.0,123.8,34.2,14
545,545,1455,145.5,-22.98,65.48,7
546,546,1240,0.0,221.0,62.0,13
547,547,1008,100.8,136.84,45.36,17
548,548,880,88.0,76.4,39.6,12
549,549,1155,115.5,412.52,51.98,20
550,550,2735,136.75,179.34,129.91,19
551,551,2280,114.0,-31.3,108.3,9
552,552,2350,235.0,445.25,105.75,4
553,553,945,47.25,159.86,44.89,3
554,554,1671,0.0,445.45,83.55,20
555,555,976,0.0,62.2,48.8,13
556,556,168,8.4,62.62,7.98,15
557,557,322,32.2,-13.69,14.49,10
558,558,944,0.0,679.8,47.2,13
559,559,1220,122.0,605.1,54.9,10
560,560,3240,0.0,728.0,162.0,20
561,561,870,0.0,92.5,43.5,19
562,562,2325,0.0,825.75,116.25,3
563,563,1260,0.0,98.0,63.0,4
564,564,1770,88.5,-116.58,84.08,9
565,565,585,29.25,131.96,27.79,5
566,566,900,45.0,213.25,42.75,9
567,567,972,97.2,277.06,43.74,11
568,568,1455,72.75,44.14,69.11,9
569,569,505,50.5,12.77,22.73,3
570,570,527,26.35,115.62,25.03,20
571,571,1692,169.2,265.66,76.14,5
572,572,832,41.6,499.88,39.52,15
573,573,902,0.0,71.9,45.1,17
574,574,407,20.35,-38.68,19.33,14
575,575,1575,78.75,-27.56,74.81,9
576,576,1185,0.0,665.75,59.25,20
577,577,338,33.8,61.99,15.21,10
578,578,750,75.0,-47.75,33.75,20
579,579,1456,145.6,-39.12,65.52,4
580,580,2212,221.2,132.26,99.54,19
581,581,274,13.7,38.28,13.02,16
582,582,1596,0.0,457.2,79.8,3
583,583,2136,0.0,401.2,106.8,8
584,584,563,28.15,42.11,26.74,3
585,585,801,0.0,271.95,40.05,18
586,586,598,0.0,151.1,29.9,17
587,587,311,15.55,12.68,14.77,5
588,588,716,71.6,380.18,32.22,16
589,589,2228,0.0,617.6,111.4,3
590,590,1024,51.2,365.16,48.64,3
591,591,310,0.0,119.5,15.5,5
592,592,2540,127.0,531.35,120.65,16
593,593,814,0.0,-14.7,40.7,4
594,594,355,17.75,263.39,16.86,12
595,595,253,0.0,112.35,12.65,10
596,596,364,0.0,16.8,18.2,9
597,597,410,41.0,1.55,18.45,18
598,598,1317,131.7,328.03,59.27,12
599,599,932,0.0,622.4,46.6,3
600,600,1656,0.0,419.2,82.8,18
601,601,447,22.35,125.42,21.23,8
602,602,440,0.0,53.0,22.0,20
603,603,352,17.6,-28.32,16.72,8
604,604,90,0.0,27.5,4.5,8
605,605,381,19.05,-8.15,18.1,6
606,606,1376,68.8,333.84,65.36,8
607,607,364,0.0,230.8,18.2,7
608,608,598,59.8,97.29,26.91,14
609,609,620,62.0,46.1,27.9,12
610,610,146,0.0,106.7,7.3,19
611,611,846,84.6,130.33,38.07,5
612,612,1160,116.0,85.8,52.2,18
613,613,780,78.0,-45.1,35.1,4
614,614,1326,132.6,261.73,59.67,8
615,615,3020,0.0,377.0,151.0,12
616,616,2070,207.0,336.85,93.15,13
617,617,2212,110.6,245.33,105.07,11
618,618,1090,54.5,176.72,51.78,5
619,619,995,49.75,527.99,47.26,10
620,620,285,28.5,106.67,12.83,11
621,621,1158,57.9,13.1,55.0,15
622,622,600,30.0,39.5,28.5,10
623,623,775,38.75,269.44,36.81,5
624,624,2100,105.0,187.25,99.75,20
625,625,383,19.15,-42.34,18.19,10
626,626,1684,84.2,600.81,79.99,3
627,627,222,22.2,74.81,9.99,15
628,628,1740,0.0,359.0,87.0,18
629,629,494,0.0,-1.7,24.7,18
630,630,1386,69.3,-67.14,65.84,4
631,631,1482,0.0,42.9,74.1,6
632,632,938,46.9,292.54,44.56,16
633,633,928,92.8,8.44,41.76,9
634,634,555,0.0,405.25,27.75,17
635,635,1340,134.0,-122.3,60.3,4
636,636,1904,95.2,-53.64,90.44,8
637,637,1260,63.0,244.15,59.85,8
638,638,505,25.25,103.76,23.99,20
639,639,710,71.0,-68.95,31.95,6
640,640,347,17.35,80.17,16.48,17
641,641,1240,124.0,13.2,55.8,15
642,642,201,20.1,44.86,9.04,7
643,643,2320,0.0,408.0,116.0,20
644,644,2504,125.2,255.86,118.94,8
645,645,2165,0.0,538.75,108.25,3
646,646,897,89.7,-35.07,40.37,4
647,647,1416,141.6,19.68,63.72,19
648,648,456,22.8,-8.46,21.66,4
649,649,248,12.4,85.82,11.78,10
650,650,1324,0.0,309.8,66.2,6
651,651,322,16.1,-2.39,15.29,19
652,652,940,0.0,76.0,47.0,9
653,653,319,15.95,6.9,15.15,10
654,654,142,14.2,85.41,6.39,18
655,655,1060,53.0,135.65,50.35,6
656,656,1984,99.2,102.56,94.24,8
657,657,348,0.0,275.6,17.4,13
658,658,212,0.0,80.4,10.6,3
659,659,1299,0.0,320.05,64.95,5
660,660,486,0.0,10.7,24.3,17
661,661,423,42.3,261.66,19.04,16
662,662,168,8.4,5.62,7.98,10
663,663,1608,0.0,522.6,80.4,17
664,664,1648,0.0,538.6,82.4,7
665,665,312,0.0,179.4,15.6,19
666,666,616,61.6,16.68,27.72,10
667,667,282,0.0,211.9,14.1,14
668,668,916,0.0,544.2,45.8,18
669,669,860,43.0,221.15,40.85,15
670,670,1916,0.0,263.2,95.8,13
671,671,1560,78.0,691.9,74.1,16
672,672,1848,92.4,210.82,87.78,5
673,673,566,0.0,103.7,28.3,16
674,674,1689,168.9,302.1,76.0,14
